0-60 (s),1/4 Mile ET (s),Trap Speed (mph),Top Speed (mph),Lateral G @ 120 mph,100-0 Braking (ft),Drive Type Encoded,Weight (lb),60-130 (s),Lap Time (s),Predicted Lap Time (s),Prediction Error,Absolute Error,Car
7.4,15.6,90.0,149.0,,,1.0,3273.0,29.5,115.61099999999999,114.83279,-0.7782134399413962,0.7782134399413962,2003 Mitsubishi Eclipse GTS
2.9,9.9,148.0,177.0,1.49,248.1,0.0,1433.0,5.3,90.17699999999999,89.40329,-0.7737102050781175,0.7737102050781175,2010 Ariel Atom 500 V8
5.1,13.3,101.0,157.0,1.1,276.7,2.0,3273.0,16.7,101.392,102.14645,0.7544462280273478,0.7544462280273478,1989 Nissan Skyline GT-R R32
3.2,10.2,142.0,228.0,2.24,220.0,0.0,2633.0,5.6,85.14099999999999,84.40271,-0.7382900390624911,0.7382900390624911,2007 Koenigsegg CCGT
6.3,14.4,98.0,152.0,1.01,288.9,2.0,3183.0,21.1,109.547,108.80902,-0.737979003906247,0.737979003906247,1994 Toyota Celica GT-Four ST205
2.9,10.5,139.0,248.0,,,0.0,3150.0,4.4,83.995,84.72959,0.7345913696289017,0.7345913696289017,2004 Chrysler ME Four-Twelve
3.0,10.5,138.0,211.0,1.29,249.0,0.0,3851.0,6.4,92.307,91.573616,-0.7333839721679709,0.7333839721679709,2018 Ferrari 812 Superfast
7.6,15.9,89.0,155.0,0.96,,0.0,3316.0,28.5,113.344,114.07564,0.7316378173828184,0.7316378173828184,1980 Maserati Merak SS
4.4,12.8,111.0,180.0,1.1,305.0,0.0,3494.0,13.3,103.327,102.597595,-0.7294047851562482,0.7294047851562482,2002 BMW Z8
3.4,11.2,132.0,207.0,1.26,253.8,0.0,4169.0,7.2,94.868,94.13884,-0.7291602783203075,0.7291602783203075,2020 Ford Mustang Shelby GT500
3.4,11.4,127.0,174.0,1.68,204.4,0.0,2688.0,7.6,85.461,86.1867,0.7256989135742202,0.7256989135742202,2023 KTM GT-XR
8.6,16.6,86.0,137.0,0.93,322.9,0.0,2560.0,27.0,119.037,118.32177,-0.7152302856445374,0.7152302856445374,1967 Toyota 2000GT
2.5,9.5,160.0,220.0,1.94,209.4,0.0,3097.0,4.3,79.907,80.60712,0.7001166992187535,0.7001166992187535,2018 Ferrari FXX K Evo
3.5,11.5,131.0,211.0,1.21,265.8,0.0,4186.0,7.4,94.517,95.215096,0.6980955200195353,0.6980955200195353,2019 Aston Martin DBS Superleggera
4.3,12.4,119.0,166.0,1.02,306.9,0.0,2660.0,10.6,103.119,102.437874,-0.6811261596679685,0.6811261596679685,1965 Shelby Cobra 427 S/C MKIII
4.4,12.8,113.0,190.0,1.12,278.4,0.0,4042.0,12.1,102.087,101.407104,-0.6798955078125033,0.6798955078125033,2015 Lexus RC F
5.5,14.0,102.0,166.0,1.11,271.2,1.0,3084.0,18.6,103.582,104.25608,0.6740806274414126,0.6740806274414126,2019 Hyundai Veloster N
6.2,14.7,91.0,142.0,1.0,304.5,0.0,2844.0,23.6,109.938,110.60966,0.6716572875976539,0.6716572875976539,1991 Toyota MR2 Turbo MKII
3.0,10.7,136.0,204.0,1.42,242.7,0.0,3619.0,6.4,89.88,90.54524,0.665242309570317,0.665242309570317,2021 Mercedes-Benz AMG GT Black Series
4.9,13.6,106.0,176.0,1.15,282.6,0.0,3416.0,15.8,102.638,101.9824,-0.655601013183599,0.655601013183599,2016 Nissan 370Z Nismo
4.5,13.3,103.0,165.0,1.11,279.2,2.0,3465.0,15.9,102.789,102.135895,-0.6531052246093765,0.6531052246093765,2017 Ford Focus RS MK III
3.4,11.6,128.0,206.0,,,0.0,3460.0,8.0,95.125,95.777145,0.6521453857421875,0.6521453857421875,2010 Devon GTX
4.9,12.8,117.0,190.0,1.11,275.6,0.0,2862.0,10.8,100.52600000000001,99.87665,-0.6493520507812605,0.6493520507812605,1985 Ferrari 288 GTO
4.0,12.2,115.0,175.0,1.09,293.8,0.0,3569.0,12.4,100.116,100.75877,0.6427738037109378,0.6427738037109378,2019 BMW M2 F87 Competition
5.1,13.8,105.0,177.0,1.06,287.3,0.0,3467.0,16.9,104.946,104.31037,-0.6356286010742167,0.6356286010742167,1994 Toyota Supra Twin Turbo A80
2.9,10.0,157.0,273.0,1.24,229.8,0.0,3164.0,4.4,86.077,86.7096,0.6326023559570331,0.6326023559570331,2014 Koenigsegg Agera R
6.0,13.9,107.0,178.0,1.0,324.6,0.0,2862.0,15.6,107.87299999999999,108.5015,0.6285029907226658,0.6285029907226658,1969 Lamborghini Miura P400S
10.6,17.4,78.0,118.0,0.91,352.2,0.0,2178.0,,124.523,123.89993,-0.6230671386718711,0.6230671386718711,1969 Opel GT
4.2,12.5,115.0,194.0,,,2.0,3560.0,10.4,96.357,96.97801,0.6210120849609382,0.6210120849609382,2004 Lamborghini Gallardo
3.8,11.0,130.0,200.0,1.44,244.9,0.0,1934.0,7.8,91.523,90.90999,-0.6130115966796836,0.6130115966796836,1967 Ferrari 330 P4 Coupe
3.5,11.3,127.0,208.0,0.96,275.0,2.0,4290.0,8.7,97.71600000000001,98.325096,0.6090961303710856,0.6090961303710856,2012 Ferrari FF
3.3,11.3,128.0,209.0,1.19,261.7,0.0,3668.0,8.3,96.602,96.00272,-0.5992763061523476,0.5992763061523476,2019 Ferrari Portofino
3.4,11.6,125.0,208.0,1.09,,2.0,4100.0,8.4,95.884,96.4804,0.5964000854492184,0.5964000854492184,2007 Lamborghini Murcielago LP640 Roadster
3.4,10.5,160.0,224.0,1.94,,0.0,1810.0,4.3,78.08,78.67603,0.596033020019533,0.596033020019533,1970 Chaparral 2J
3.3,10.3,145.0,218.0,1.31,249.3,0.0,3282.0,5.6,90.727,90.13471,-0.5922877807617226,0.5922877807617226,2020 McLaren Sabre
6.5,14.9,94.0,158.0,1.07,286.8,0.0,2811.0,26.2,108.185,108.77548,0.5904821777343727,0.5904821777343727,2020 Subaru BRZ tS
2.9,11.0,127.0,172.0,1.12,272.7,2.0,5152.0,9.2,95.98400000000001,96.56527,0.5812694702148349,0.5812694702148349,2022 Audi RS E-Tron GT
3.2,11.2,128.0,209.0,1.26,255.4,2.0,3894.0,8.2,94.003,93.42184,-0.5811631469726564,0.5811631469726564,2010 Lamborghini Murcielago LP670-4 SV
6.0,14.4,101.0,139.0,0.78,439.5,0.0,3137.0,17.2,112.267,112.84741,0.5804121093750041,0.5804121093750041,1962 Chevrolet Corvette C1
3.9,12.1,121.0,195.0,1.12,274.8,0.0,4288.0,10.4,99.50800000000001,98.942314,-0.565685852050791,0.565685852050791,2013 BMW M5 F10
3.5,10.6,143.0,228.0,1.63,240.1,0.0,2393.0,6.4,88.175,88.73994,0.5649368286132841,0.5649368286132841,2023 Gordon Murray T.50
5.9,14.4,101.0,179.0,1.06,289.5,0.0,4355.0,18.0,106.63300000000001,107.196655,0.5636552734374902,0.5636552734374902,1994 BMW 850csi E31
6.8,14.9,94.0,137.0,0.93,330.9,0.0,3549.0,19.3,110.419,110.978676,0.5596758422851593,0.5596758422851593,1970 Dodge Challenger R/T 383
6.9,15.1,92.0,149.0,1.03,297.5,0.0,3491.0,25.8,111.634,111.08485,-0.5491535034179691,0.5491535034179691,1989 Pontiac Firebird Trans Am GTA
2.4,9.7,147.0,240.0,1.31,257.7,2.0,3991.0,5.3,90.51599999999999,89.96754,-0.5484630737304599,0.5484630737304599,2021 Ferrari SF90
4.5,12.8,114.0,187.0,1.06,325.0,0.0,3896.0,7.2,103.53999999999999,102.992714,-0.5472860717773358,0.5472860717773358,2007 Ford Mustang Shelby GT500
2.7,10.0,147.0,219.0,1.4,239.4,0.0,3108.0,5.0,88.386,87.84549,-0.5405104980468707,0.5405104980468707,2021 McLaren 765LT
4.1,12.4,115.0,176.0,1.17,273.1,0.0,3119.0,11.4,99.313,98.7734,-0.5396006469726586,0.5396006469726586,2003 Chevrolet Corvette C5 Z06
