0-60 (s),1/4 Mile ET (s),Trap Speed (mph),60-130 (s),Lateral G @ 120 mph,100-0 Braking (ft),Lap Time (s),Predicted Lap Time (s),Prediction Error,Absolute Error
3.6,11.3,139.0,4.9,2.12,187.3,78.782,79.77906,0.9970603637695348,0.9970603637695348
4.9,13.0,105.0,15.9,0.99,328.1,105.856,106.84551,0.9895123901367242,0.9895123901367242
4.3,12.4,114.0,11.2,1.03,295.0,101.598,102.585556,0.9875560302734385,0.9875560302734385
2.8,10.6,134.0,7.5,1.21,265.0,94.328,93.34609,-0.9819077758789092,0.9819077758789092
5.8,13.3,110.0,13.4,1.15,289.6,101.837,102.81114,0.9741419677734342,0.9741419677734342
3.5,11.3,127.0,8.7,0.96,275.0,97.71600000000001,96.74757,-0.9684337768554769,0.9684337768554769
2.9,10.5,145.0,5.8,1.23,256.6,91.618,90.65703,-0.9609718017578075,0.9609718017578075
2.6,9.9,148.0,5.0,1.52,241.1,88.261,89.21371,0.9527069702148481,0.9527069702148481
2.9,9.9,152.0,5.4,2.31,184.0,78.144,77.198204,-0.9457959594726617,0.9457959594726617
3.7,11.6,125.0,8.3,1.12,268.3,98.19200000000001,97.247185,-0.9448152465820385,0.9448152465820385
2.1,10.6,137.0,6.4,1.32,,93.733,94.65606,0.9230592651367147,0.9230592651367147
3.5,10.6,143.0,6.4,1.63,240.1,88.175,89.08567,0.9106704711914091,0.9106704711914091
5.2,13.7,103.0,17.5,1.07,289.7,105.707,104.79927,-0.9077293701171811,0.9077293701171811
4.6,12.7,114.0,12.2,1.15,277.0,99.852,100.75603,0.9040272216796836,0.9040272216796836
2.1,9.6,152.0,5.2,1.61,222.8,83.924,84.81341,0.8894078979492122,0.8894078979492122
7.8,16.0,90.0,24.5,0.94,313.1,114.033,113.14718,-0.8858213500976575,0.8858213500976575
4.4,12.8,111.0,13.3,1.1,305.0,103.327,104.21083,0.8838306884765643,0.8838306884765643
3.3,11.2,133.0,7.3,,,95.256,94.37784,-0.8781618652343752,0.8781618652343752
3.0,10.8,134.0,7.2,1.39,245.2,90.145,91.017914,0.872913818359379,0.872913818359379
3.6,11.2,131.0,7.9,1.41,237.3,91.66,90.789185,-0.8708154296874966,0.8708154296874966
2.9,10.6,132.0,7.9,1.26,262.8,92.571,93.441696,0.8706961669921895,0.8706961669921895
4.1,12.4,115.0,11.4,1.17,273.1,99.313,98.46096,-0.8520396118164086,0.8520396118164086
3.1,9.9,172.0,4.1,1.51,245.0,87.884,87.036705,-0.8472949829101566,0.8472949829101566
3.4,11.3,130.0,7.8,1.15,265.0,94.785,93.94742,-0.8375817871093716,0.8375817871093716
3.9,12.0,118.0,10.0,1.17,285.0,98.721,99.55694,0.8359381713867151,0.8359381713867151
4.3,12.7,110.0,12.3,1.22,261.6,100.114,99.2834,-0.8305985107421918,0.8305985107421918
2.9,10.9,133.0,7.4,1.18,264.2,93.939,93.12522,-0.8137787475585867,0.8137787475585867
2.5,9.5,160.0,4.3,1.94,209.4,79.907,80.71965,0.812650268554691,0.812650268554691
2.8,9.6,163.0,4.2,2.36,192.3,76.28,77.09206,0.8120562744140614,0.8120562744140614
5.7,14.4,97.0,21.9,1.06,287.8,106.523,107.33362,0.8106181640625039,0.8106181640625039
3.3,10.6,149.0,5.1,2.21,191.5,79.367,78.5661,-0.8008989257812544,0.8008989257812544
2.9,10.0,157.0,4.4,1.24,229.8,86.077,85.28143,-0.7955668945312482,0.7955668945312482
3.7,11.8,125.0,9.5,1.12,275.0,98.501,97.70789,-0.7931066284179735,0.7931066284179735
2.7,10.6,135.0,6.8,1.4,237.6,89.503,90.288086,0.7850859374999999,0.7850859374999999
2.8,10.3,138.0,6.8,1.37,244.4,89.947,90.73036,0.7833619384765598,0.7833619384765598
5.4,13.7,103.0,17.2,1.11,282.7,104.456,103.68326,-0.7727419433593781,0.7727419433593781
3.0,10.7,136.0,6.4,1.42,242.7,89.88,90.65196,0.771962280273442,0.771962280273442
2.9,10.7,132.0,6.9,1.26,261.2,92.673,93.441696,0.7686961669921857,0.7686961669921857
6.6,15.1,92.0,33.0,1.07,287.0,110.122,109.35943,-0.7625715942382811,0.7625715942382811
3.2,10.9,133.0,6.2,1.39,256.3,91.685,92.44486,0.759862365722654,0.759862365722654
2.9,10.9,132.0,7.3,1.4,245.0,90.57900000000001,91.33438,0.7553811035156173,0.7553811035156173
6.2,14.7,91.0,23.6,1.0,304.5,109.938,110.690125,0.7521245117187476,0.7521245117187476
3.0,10.8,129.0,7.7,1.35,233.4,92.17699999999999,91.42491,-0.752088500976555,0.752088500976555
4.3,12.5,116.0,11.3,1.11,305.0,101.327,102.075485,0.7484852294921893,0.7484852294921893
2.6,9.5,155.0,4.1,2.47,190.7,76.348,77.09206,0.7440562744140635,0.7440562744140635
3.3,11.4,122.0,11.0,1.08,289.5,99.956,100.68452,0.7285169067382782,0.7285169067382782
3.1,10.2,145.0,5.5,1.24,265.0,92.13300000000001,91.41385,-0.7191511230468848,0.7191511230468848
2.9,8.9,180.0,3.4,1.66,220.1,84.339,83.62827,-0.7107269897460924,0.7107269897460924
4.3,12.7,111.0,12.6,0.98,285.0,102.408,101.70671,-0.7012891845703138,0.7012891845703138
2.7,10.0,147.0,5.0,1.4,239.4,88.386,89.08567,0.6996704711914106,0.6996704711914106
3.4,11.5,126.0,8.1,1.54,230.6,90.423,91.12128,0.6982768554687482,0.6982768554687482
4.3,12.7,113.0,12.4,1.11,281.3,101.69,100.993195,-0.6968054199218727,0.6968054199218727
8.5,16.6,85.0,43.6,0.96,308.9,116.352,115.65851,-0.6934916992187539,0.6934916992187539
2.7,10.1,141.0,5.9,1.3,247.4,89.364,90.05559,0.6915877685546832,0.6915877685546832
6.5,14.9,94.0,26.2,1.07,286.8,108.185,108.87204,0.6870397949218727,0.6870397949218727
3.3,10.4,144.0,5.7,1.47,255.0,91.191,90.51708,-0.6739177856445338,0.6739177856445338
3.9,12.1,121.0,10.4,1.12,274.8,99.50800000000001,98.84342,-0.6645780639648535,0.6645780639648535
4.4,12.8,114.0,11.2,,,99.696,100.35912,0.6631232299804708,0.6631232299804708
3.5,11.5,131.0,7.4,1.21,265.8,94.517,93.86902,-0.6479814453124959,0.6479814453124959
